,fail_load_with_cryptography,version_not_support,version_parse_error,fingerprint_produce_error,serial_number_length,serial_number_not_conforming,serial_number_parse_error,algorithm_not_support,public_key_parse_error,has_expire,after_smaller_than_before,validation_parse_error,issuer_is_empty,issuer_cn_exist,issuer_country,issuer_parse_error,subject_is_empty,subject_cn_exist,subject_country,subject_parse_error,not_use_separate_sig_hash_algorithm,sig_hash_algorithm_parse_error,sig_algorithm_parse_error,signature_parse_error,tbs_certificate_bytes_parse_error,no_extension,extension_exist_in_wrong_version,extensions_parse_error,keyUsage_is_critical,keyUsage_is_exist,authorityInfoAccess_is_critical,authorityInfoAccess_is_exist,certificatePolicies_is_critical,certificatePolicies_is_exist,basicConstraints_is_critical,basicConstraints_is_exist,cRLDistributionPoints_is_critical,cRLDistributionPoints_is_exist,subjectAltName_is_critical,subjectAltName_is_exist,extendedKeyUsage_is_critical,extendedKeyUsage_is_exist,subjectKeyIdentifier_is_critical,subjectKeyIdentifier_is_exist,authorityKeyIdentifier_is_critical,authorityKeyIdentifier_is_exist,signedCertificateTimestampList_is_critical,signedCertificateTimestampList_is_exist,inhibitAnyPolicy_is_critical,inhibitAnyPolicy_is_exist,policyConstraints_is_critical,policyConstraints_is_exist,nameConstraints_is_critical,nameConstraints_is_exist,issuerAlternativeName_is_critical,issuerAlternativeName_is_exist,extension_not_support,authorityKeyIdentifier_parse_error,subjectKeyIdentifier_parse_error,decipher_and_encipher_error,keyUsage_parse_error,basicConstraints_parse_error,extendedKeyUsage_parse_error,explicit_text_exceed,certificatePolicies_parse_error,is_ev,only_consist_reasons_error,dp_parse_error,authorityInfoAccess_parse_error,signedCertificateTimestampList_parse_error,subjectAltName_parse_error,inhibitAnyPolicy_parse_error,policyConstraints_parse_error,nameConstraints_parse_error,issuerAlternativeName_parse_error,keycertsign_not_conform_ca,cA_with_empty_subject,CRLissuer_with_empty_subject,subject_with_subaltname_no_critical,mid_cert_parse_error,mid_cert_without_ca_issuer,mid_cert_aia_error,mid_cert_verify_error,mid_cert_basic_validate_error,ios_trust,cisco_trust,microsoft_trust,mozilla_trust,unspecified_certificate_verification_error,unable_to_get_issuer_certificate,unable_to_get_certificate_CRL,unable_to_decrypt_certificates_signature,unable_to_decrypt_CRLs_signature,unable_to_decode_issuer_public_key,certificate_signature_failure,CRL_signature_failure,certificate_is_not_yet_valid,certificate_has_expired,CRL_is_not_yet_valid,CRL_has_expired,format_error_in_certificates_notBefore_field,format_error_in_certificates_notAfter_field,format_error_in_CRLs_lastUpdate_field,format_error_in_CRLs_nextUpdate_field,out_of_memory,self_signed_certificate,self_signed_certificate_in_certificate_chain,unable_to_get_local_issuer_certificate,unable_to_verify_the_first_certificate,certificate_chain_too_long,certificate_revoked,invalid_CA_certificate,path_length_constraint_exceeded,unsupported_certificate_purpose,certificate_not_trusted,certificate_rejected,subject_issuer_mismatch,authority_and_subject_key_identifier_mismatch,authority_and_issuer_serial_number_mismatch,key_usage_does_not_include_certificate_signing,invalid_or_inconsistent_certificate_extension,invalid_or_inconsistent_certificate_policy_extension,no_explicit_policy,Different_CRL_scope,Unsupported_extension_feature,permitted_subtree_violation,excluded_subtree_violation,name_constraints_minimum_and_maximum_not_supported,unsupported_name_constraint_type,unsupported_or_invalid_name_constraint_syntax,CRL_path_validation_error,application_verification_failure,unable_to_get_CRL_issuer_certificate,unhandled_critical_extension,key_usage_does_not_include_CRL_signing,unhandled_critical_CRL_extension,invalid_nonCA_certificate_has_CA_markings,proxy_path_length_constraint_exceeded,key_usage_does_not_include_digital_signature,proxy_certificates_not_allowed_please_set_the_appropriate_flag,RFC_3779_resource_not_subset_of_parents_resources,unsupported_or_invalid_name_syntax,path_loop,hostname_mismatch,email_address_mismatch,IP_address_mismatch,no_matching_DANE_TLSA_records,EE_certificate_key_too_weak,CA_certificate_key_too_weak,CA_signature_digest_algorithm_too_weak,invalid_certificate_verification_context,issuer_certificate_lookup_error,certificate_transparency_required_but_no_valid_SCTs_found,proxy_subject_name_violation,OCSP_verification_needed,OCSP_verification_failed,OCSP_unknown_cert,issuer_certificate_doesnt_have_a_public_key,Subject_signature_algorithm_and_issuer_public_key_algorithm_mismatch,subject_domain_alexa_rank,chain_len,construct_result,subject_infor_chain,verify_result_error,digital_signature,content_commitment,key_encipherment,data_encipherment,key_agreement,key_cert_sign,crl_sign,decipher_only,encipher_only,ca,max_path_length,error_occur,version,serial_number,valid_time_length,valid_time_so_far,signature_algorithm,public_key_size,public_key_algorithm,label
0,0,0,0,0,39,0,0,0,0,0,0,0,0,1,227,0,0,1,-1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0.0,-1,0,0.0,0,0.0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,4,1,"CN=echofeel.website C=US,ST=TX,L=Houston,O=cPanel\, Inc.,CN=cPanel\, Inc. Certification Authority C=GB,ST=Greater Manchester,L=Salford,O=COMODO CA Limited,CN=COMODO RSA Certification Authority C=GB,ST=Greater Manchester,L=Salford,O=Comodo CA Limited,CN=AAA Certificate Services",0,1,0,1,0,0,0,0,-1,-1,0,-1,0,2,1.8123e+38,2183.999722,1049.809369,3,2048,0,0
1,0,0,0,0,42,0,0,0,0,0,0,0,0,1,227,0,0,1,-1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,-1,0,0,1,0,1,0,1,0,1,0,1,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0.0,-1,0,0.0,-1,-1.0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,3,1,"CN=11elode.it C=US,O=Let's Encrypt,CN=Let's Encrypt Authority X1 O=Digital Signature Trust Co.,CN=DST Root CA X3",0,1,0,1,0,0,0,0,-1,-1,0,-1,0,2,2.91222e+41,2160.0,1658.993339,3,2048,0,0
2,0,0,0,0,39,0,0,0,0,0,0,0,0,1,227,0,0,1,-1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0.0,-1,0,0.0,0,0.0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,4,1,"CN=washsolution.ro C=US,ST=TX,L=Houston,O=cPanel\, Inc.,CN=cPanel\, Inc. Certification Authority C=GB,ST=Greater Manchester,L=Salford,O=COMODO CA Limited,CN=COMODO RSA Certification Authority C=GB,ST=Greater Manchester,L=Salford,O=Comodo CA Limited,CN=AAA Certificate Services",0,1,0,1,0,0,0,0,-1,-1,0,-1,0,2,1.94146e+38,2183.999722,953.814726,3,2048,0,0
3,0,0,0,0,20,0,0,0,0,0,0,0,0,1,227,0,0,1,-1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0.0,-1,0,0.0,0,0.0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,4,1,"OU=Domain Control Validated,CN=savoryjapan.com C=US,ST=Arizona,L=Scottsdale,O=GoDaddy.com\, Inc.,OU=http://certs.godaddy.com/repository/,CN=Go Daddy Secure Certificate Authority - G2 C=US,ST=Arizona,L=Scottsdale,O=GoDaddy.com\, Inc.,OU=https://certs.godaddy.com/repository/,CN=Go Daddy Root Certificate Authority - G2 C=US,O=The Go Daddy Group\, Inc.,OU=Go Daddy Class 2 Certification Authority",0,1,0,1,0,0,0,0,-1,-1,0,-1,0,2,1.71658e+19,10231.04167,6797.461301,3,2048,0,0
4,0,0,0,0,42,0,0,0,0,0,0,0,0,1,227,0,0,1,-1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,-1,0,0,1,0,1,0,1,0,1,0,1,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0.0,-1,0,0.0,-1,-1.0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,3,1,"CN=ecb-european.info C=US,O=Let's Encrypt,CN=Let's Encrypt Authority X1 O=Digital Signature Trust Co.,CN=DST Root CA X3",1,1,0,1,0,0,0,0,-1,-1,0,-1,1,2,2.8115600000000003e+41,2161.0,2161.0,3,2048,0,0
5,0,0,0,0,42,0,0,0,0,0,0,0,0,1,227,0,0,1,-1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,-1,0,0,1,0,1,0,1,0,1,0,1,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0.0,-1,0,0.0,-1,-1.0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,3,1,"CN=autodiscover.abahhuseinproperty.com C=US,O=Let's Encrypt,CN=Let's Encrypt Authority X1 O=Digital Signature Trust Co.,CN=DST Root CA X3",0,1,0,1,0,0,0,0,-1,-1,0,-1,0,2,4.17182e+41,2160.0,1633.0776720000001,3,2048,0,0
6,0,0,0,0,39,0,0,0,0,0,0,0,0,1,227,0,0,1,-1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0.0,-1,0,0.0,0,0.0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,4,1,"CN=aquiypunto.com C=US,ST=TX,L=Houston,O=cPanel\, Inc.,CN=cPanel\, Inc. Certification Authority C=GB,ST=Greater Manchester,L=Salford,O=COMODO CA Limited,CN=COMODO RSA Certification Authority C=GB,ST=Greater Manchester,L=Salford,O=Comodo CA Limited,CN=AAA Certificate Services",0,1,0,1,0,0,0,0,-1,-1,0,-1,0,2,2.66765e+38,2183.999722,1241.8262650000001,3,2048,0,0
7,0,0,0,0,39,0,0,0,0,0,0,0,0,1,227,0,0,1,-1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0.0,-1,0,0.0,0,0.0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,4,1,"CN=rsj13.rhostjh.com C=US,ST=TX,L=Houston,O=cPanel\, Inc.,CN=cPanel\, Inc. Certification Authority C=GB,ST=Greater Manchester,L=Salford,O=COMODO CA Limited,CN=COMODO RSA Certification Authority C=GB,ST=Greater Manchester,L=Salford,O=Comodo CA Limited,CN=AAA Certificate Services",0,1,0,1,0,0,0,0,-1,-1,0,-1,0,2,1.5144700000000001e+38,8783.999722,4816.82933,3,2048,0,0
8,0,0,0,0,39,0,0,0,0,0,0,0,0,1,227,0,0,1,-1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,-1,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0.0,-1,0,0.0,0,0.0,0,-1,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,4,1,"CN=organicdetoxandcleanse.com C=US,ST=TX,L=Houston,O=cPanel\, Inc.,CN=cPanel\, Inc. Certification Authority C=GB,ST=Greater Manchester,L=Salford,O=COMODO CA Limited,CN=COMODO RSA Certification Authority C=GB,ST=Greater Manchester,L=Salford,O=Comodo CA Limited,CN=AAA Certificate Services",1,1,0,1,0,0,0,0,-1,-1,0,-1,1,2,1.7364300000000003e+38,2183.999722,2183.999722,3,2048,0,0
9,0,0,0,0,42,0,0,0,0,0,0,0,0,1,227,0,0,1,-1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,-1,0,0,1,0,1,0,1,0,1,0,1,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0.0,0,0,0.0,-1,-1.0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,3,1,"CN=surfclubrye.com C=US,O=Let's Encrypt,CN=Let's Encrypt Authority X1 O=Digital Signature Trust Co.,CN=DST Root CA X3",1,1,0,1,0,0,0,0,-1,-1,0,-1,1,2,2.8801e+41,2161.0,2161.0,3,2048,0,0
